"scientificName","decimalLongitude","decimalLatitude"
"Acanthastrea hemprichii",148.6578,-20.1085
"Acanthastrea hemprichii",149.2867,-20.8087
"Acanthastrea hemprichii",148.554,-19.9957
"Acanthastrea hemprichii",149.1057,-20.266
"Acanthastrea hemprichii",40.7055,-14.3762
"Acanthastrea hemprichii",145.4498,-15.6498
"Acanthastrea hemprichii",145.4646,-16.1079
"Acanthastrea hemprichii",146.8622,-19.1569
"Acanthastrea hemprichii",48.5525,-13.0383
"Acanthastrea hemprichii",124.9282,-14.5244
"Acanthastrea hemprichii",145.7723,-16.118
"Acanthastrea hemprichii",153.4067,-27.47
"Acanthastrea hemprichii",148.6243,-20.0153
"Acanthastrea hemprichii",145.471,-14.6587
"Acanthastrea hemprichii",145.496,-16.2997
"Acanthastrea hemprichii",125.3075,-14.2594
"Acanthastrea hemprichii",149.4213,-20.9274
"Acanthastrea hemprichii",145.3662,-15.7297
"Acanthastrea hemprichii",145.6923,-16.7293
"Acanthastrea hemprichii",145.454,-14.6454
"Acanthastrea hemprichii",145.3725,-14.6942
"Acanthastrea hemprichii",149.0255,-20.1672
"Acanthastrea hemprichii",145.774,-16.3768
"Acanthastrea hemprichii",145.467,-14.6889
"Acanthastrea hemprichii",148.8506,-20.4276
"Acanthastrea hemprichii",146.4225,-17.7068
"Acanthastrea hemprichii",49.07,-12.13
"Acanthastrea hemprichii",148.5083,-20.0782
"Acanthastrea hemprichii",146.201,-17.092
"Acanthastrea hemprichii",146.1667,-17.6742
"Acanthastrea hemprichii",146.2825,-18.1485
"Acanthastrea hemprichii",145.446,-14.6639
"Acanthastrea hemprichii",149.0097,-20.1723
"Acanthastrea hemprichii",145.4327,-15.6415
"Acanthastrea hemprichii",43.33,11.5
"Acanthastrea hemprichii",149.0403,-20.2357
"Acanthastrea hemprichii",51.5,-10.2
"Acanthastrea hemprichii",146.013,-17.1636
"Acanthastrea hemprichii",71.5,-6.2
"Acanthastrea hemprichii",148.576,-20.1045
"Acanthastrea hemprichii",145.9717,-16.7683
"Acanthastrea hemprichii",48.55,-12.8917
"Acanthastrea hemprichii",145.4619,-16.03
"Acanthastrea hemprichii",145.45,-14.647
"Acanthastrea hemprichii",148.606,-20.133
"Acanthastrea hemprichii",149.4236,-20.9259
"Acanthastrea hemprichii",149.0322,-20.3065
"Acanthastrea hemprichii",148.6087,-20.102
"Acanthastrea hemprichii",148.5713,-20.0957
"Acanthastrea hemprichii",129.17,28.13
"Acanthastrea hemprichii",146.1887,-17.0567
"Acanthastrea hemprichii",148.9953,-20.2178
"Acanthastrea hemprichii",145.5543,-15.7845
"Acanthastrea hemprichii",146.8492,-19.1715
"Acanthastrea hemprichii",48.9894,-12.2397
"Acanthastrea hemprichii",149.2657,-20.8178
"Acanthastrea hemprichii",148.9322,-20.3253
"Acanthastrea hemprichii",145.97,-16.6073
"Acanthastrea hemprichii",146.1958,-17.0607
"Acanthastrea hemprichii",145.4303,-15.6352
"Acanthastrea hemprichii",149.279,-20.7995
"Acanthastrea hemprichii",131.38,31.53
"Acanthastrea hemprichii",153.3517,-27.4833
"Acanthastrea hemprichii",146.8685,-19.155
"Acanthastrea hemprichii",145.4167,-15.1333
"Acanthastrea hemprichii",145.461,-14.6999
"Acanthastrea hemprichii",165.525,11.625
"Acanthastrea hemprichii",48.5953,-12.8269
"Acanthastrea hemprichii",146.0125,-17.1632
"Acanthastrea hemprichii",146.0948,-17.2253
"Acanthastrea hemprichii",49.0675,-12.1075
"Acanthastrea hemprichii",146.4326,-18.8107
"Acanthastrea hemprichii",59.63,-16.61
"Acanthastrea hemprichii",39.75,-8.1
"Acanthastrea hemprichii",145.448,-14.6975
"Acanthastrea hemprichii",145.44,-14.6836
"Acanthastrea hemprichii",56.35,26.88
"Acanthastrea hemprichii",148.4425,-20.0072
"Acanthastrea hemprichii",45.12,-12.78
"Acanthastrea hemprichii",145.6595,-16.2878
"Acanthastrea hemprichii",145.6597,-16.2623
"Acanthastrea hemprichii",145.4013,-15.716
"Acanthastrea hemprichii",145.459,-14.686
"Acanthastrea hemprichii",146.0735,-17.2083
