"scientificName","decimalLongitude","decimalLatitude","depth","symbio"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lutkeni",132.74083,32.77167,NA,"z"
"Acropora millepora",132.70972,32.79722,NA,"z"
"Acropora millepora",115.5667,-32,NA,"z"
"Acropora muricata",135.74333,33.48027,NA,"z"
"Acropora muricata",135.33805,33.69277,NA,"z"
"Acropora muricata",132.73306,32.77917,NA,"z"
"Acropora muricata",135.74333,33.48027,NA,"z"
"Acropora muricata",135.7433,33.4803,NA,"z"
"Acropora muricata",135.74333,33.48027,NA,"z"
"Acropora muricata",135.33805,33.69277,NA,"z"
"Acropora muricata",135.33805,33.69277,NA,"z"
"Acropora nana",159.1,-31.55,NA,"z"
"Acropora nana",159.100006104,-31.5499992371,NA,"z"
"Acropora nana",159.1000061,-31.54999924,NA,"z"
"Acropora nasuta",132.73306,32.77917,NA,"z"
"Acropora nasuta",159.07166,-31.55166,NA,"z"
"Acropora nasuta",159.07166,-31.55166,NA,"z"
"Acropora nasuta",159.07333,-31.515,NA,"z"
"Acropora polystoma",159.149993896,-31.4699993134,NA,"z"
"Acropora polystoma",159.15,-31.46667,NA,"z"
"Acropora polystoma",159.1499939,-31.46999931,NA,"z"
"Acropora robusta",115.5169,-32.0327,NA,"z"
"Acropora robusta",132.74083,32.77167,NA,"z"
"Acropora robusta",115.5169,-32.0327,NA,"z"
"Acropora robusta",115.5169,-32.0327,NA,"z"
"Acropora robusta",115.5167,-32.0333,NA,"z"
"Acropora robusta",115.5169,-32.0327,NA,"z"
"Acropora robusta",115.5169,-32.0327,NA,"z"
"Acropora robusta",159.083,-31.55,NA,"z"
"Acropora robusta",115.5169,-32.0327,NA,"z"
"Acropora robusta",115.5167,-32.0333,NA,"z"
