valid.name,redlistCategory,corallite,branching,integration,budding,family
Dipsastraea maritima,Near Threatened,18.8,NB,3,intra,Merulinidae
Dipsastraea marshae,Near Threatened,19.3,NB,3,intra,Merulinidae
Dipsastraea matthaii,Near Threatened,8.8,NB,3,intra,Merulinidae
Dipsastraea maxima,Near Threatened,29,NB,3,intra,Merulinidae
Dipsastraea pallida,Least Concern,6.8,NB,3,intra,Merulinidae
Dipsastraea rosaria,Vulnerable,9.3,LB,3,intra,Merulinidae
Dipsastraea rotumana,Least Concern,8.8,NB,3,intra,Merulinidae
Dipsastraea speciosa,Least Concern,9.9,NB,3,intra,Merulinidae
Dipsastraea truncata,Least Concern,9,NB,3,intra,Merulinidae
Dipsastraea veroni,Near Threatened,17.5,NB,3,intra,Merulinidae
Dipsastraea vietnamensis,Near Threatened,4.8,NB,3,intra,Merulinidae
Duncanopsammia axifuga,Near Threatened,6.7,MB,1,extra,Dendrophylliidae
Duncanopsammia peltata,Vulnerable,4.8,MB,1,extra,Dendrophylliidae
Echinomorpha nishihirai,Near Threatened,115.5,LB,0,intra,Lobophylliidae
Echinophyllia aspera,Least Concern,8.8,MB,5,intra,Lobophylliidae
Echinophyllia costata,Vulnerable,6,MB,5,intra,Lobophylliidae
Echinophyllia echinoporoides,Least Concern,5.7,LB,5,intra,Lobophylliidae
Echinophyllia glabra,Least Concern,7.5,MB,5,intra,Lobophylliidae
Echinophyllia orpheensis,Least Concern,10.1,NB,5,intra,Lobophylliidae
Echinophyllia patula,Least Concern,7,MB,5,intra,Lobophylliidae
Echinophyllia pectinata,Data Deficient,7.2,LB,5,intra,Lobophylliidae
Echinopora ashmorensis,Vulnerable,5.1,LB,3,extra,Merulinidae
Echinopora forskaliana,Near Threatened,5.8,NB,3,extra,Merulinidae
Echinopora fruticulosa,Near Threatened,4.8,MB,3,extra,Merulinidae
Echinopora gemmacea,Least Concern,4.2,MB,3,extra,Merulinidae
Echinopora hirsutissima,Least Concern,4.2,NB,3,extra,Merulinidae
Echinopora horrida,Near Threatened,2.4,LB,3,extra,Merulinidae
Echinopora irregularis,Data Deficient,4.2,LB,3,extra,Merulinidae
Echinopora lamellosa,Least Concern,3.4,MB,3,extra,Merulinidae
Echinopora mammiformis,Near Threatened,8.9,LB,3,extra,Merulinidae
Echinopora pacifica,Near Threatened,4.6,MB,3,extra,Merulinidae
Echinopora robusta,Vulnerable,8.6,NB,3,extra,Merulinidae
Echinopora taylorae,Near Threatened,5,MB,3,extra,Merulinidae
Echinopora tiranensis,Data Deficient,3.5,LB,3,extra,Merulinidae
Erythrastrea flabellata,Near Threatened,14,NB,7,intra,Merulinidae
Euphyllia cristata,Vulnerable,25,NB,7,intra,Euphylliidae
Euphyllia glabrescens,Near Threatened,8,NB,7,intra,Euphylliidae
Euphyllia paraglabrescens,Vulnerable,51,NB,7,intra,Euphylliidae
Eusmilia fastigiata,Least Concern,20.9,NB,2,intra,Meandrinidae
Favia fragum,Least Concern,5.8,NB,3,intra,Faviidae
Favites abdita,Near Threatened,7.5,NB,4,both,Merulinidae
Favites acuticollis,Near Threatened,9.3,NB,4,both,Merulinidae
Favites chinensis,Near Threatened,7.5,NB,4,both,Merulinidae
Favites colemani,Near Threatened,7.8,LB,4,both,Merulinidae
Favites complanata,Near Threatened,8,NB,4,both,Merulinidae
Favites flexuosa,Near Threatened,18.8,NB,4,both,Merulinidae
Favites halicora,Near Threatened,16.8,NB,4,both,Merulinidae
Favites magnistellata,Near Threatened,5.1,NB,4,both,Merulinidae
Favites micropentagonus,Near Threatened,5.2,NB,4,both,Merulinidae
Favites paraflexuosus,Near Threatened,16.2,NB,4,both,Merulinidae
Favites pentagona,Least Concern,8.5,NB,4,both,Merulinidae
Favites rotundata,Near Threatened,21.2,NB,4,both,Merulinidae
Favites spinosa,Vulnerable,8.2,NB,4,both,Merulinidae
Favites stylifera,Near Threatened,6.8,NB,4,both,Merulinidae
Favites vasta,Near Threatened,17.5,NB,4,both,Merulinidae
Fimbriaphyllia ancora,Vulnerable,45,NB,7,intra,Euphylliidae
Fimbriaphyllia divisa,Near Threatened,22,NB,7,intra,Euphylliidae
Fimbriaphyllia paraancora,Vulnerable,30,NB,7,intra,Euphylliidae
Fimbriaphyllia paradivisa,Vulnerable,45,NB,7,intra,Euphylliidae
Fimbriaphyllia yaeyamensis,Near Threatened,25.2,NB,7,intra,Euphylliidae
Fungia fungites,Near Threatened,158,NB,0,extra,Fungiidae
Galaxea acrhelia,Vulnerable,5.4,MB,3,intra,Euphylliidae
Galaxea astreata,Vulnerable,3.7,NB,3,intra,Euphylliidae
Galaxea cryptoramosa,Vulnerable,4.6,MB,3,intra,Euphylliidae
Galaxea fascicularis,Near Threatened,5.8,NB,3,intra,Euphylliidae
Galaxea horrescens,Least Concern,2.9,MB,3,intra,Euphylliidae
Galaxea longisepta,Near Threatened,7.6,LB,3,intra,Euphylliidae
Galaxea paucisepta,Near Threatened,3.1,LB,3,intra,Euphylliidae
Gardineroseris planulata,Least Concern,5,NB,6,intra,Agariciidae
Goniastrea columella,Near Threatened,17.5,NB,4,both,Merulinidae
Goniastrea edwardsi,Least Concern,5,NB,4,both,Merulinidae
Goniastrea favulus,Near Threatened,7.5,NB,4,both,Merulinidae
Goniastrea minuta,Near Threatened,5.9,NB,4,both,Merulinidae
Goniastrea pectinata,Least Concern,5,NB,4,both,Merulinidae
Goniastrea ramosa,Vulnerable,7.4,LB,4,both,Merulinidae
Goniastrea retiformis,Least Concern,6.5,NB,4,both,Merulinidae
Goniastrea stelligera,Near Threatened,5.1,NB,4,both,Merulinidae
Goniastrea thecata,Near Threatened,8.4,NB,4,both,Merulinidae
Goniopora albiconus,Vulnerable,3.2,LB,4,extra,Poritidae
Goniopora burgosi,Vulnerable,1.7,NB,4,extra,Poritidae
Goniopora cellulosa,Vulnerable,4.1,NB,4,extra,Poritidae
Goniopora ciliatus,Least Concern,3.8,MB,4,extra,Poritidae
Goniopora columna,Near Threatened,3.7,MB,4,extra,Poritidae
Goniopora diminuta,Data Deficient,4,NB,4,extra,Poritidae
Goniopora djiboutiensis,Least Concern,4.7,MB,4,extra,Poritidae
Goniopora eclipsensis,Least Concern,3.1,MB,4,extra,Poritidae
Goniopora fruticosa,Least Concern,3.7,LB,4,extra,Poritidae
Goniopora lobata,Near Threatened,4.6,MB,4,extra,Poritidae
Goniopora norfolkensis,Least Concern,2.4,LB,4,extra,Poritidae
Goniopora paliformis,Vulnerable,2.7,NB,4,extra,Poritidae
Goniopora palmensis,Least Concern,2.4,NB,4,extra,Poritidae
Goniopora pandoraensis,Least Concern,2.7,MB,4,extra,Poritidae
Goniopora pearsoni,Least Concern,3.3,NB,4,extra,Poritidae
Goniopora pedunculata,Near Threatened,2.5,LB,4,extra,Poritidae
Goniopora pendulus,Least Concern,5.6,NB,4,extra,Poritidae
Goniopora planulata,Vulnerable,3.1,MB,4,extra,Poritidae
Goniopora savignyi,Least Concern,2.2,MB,4,extra,Poritidae
Goniopora somaliensis,Least Concern,3.1,LB,4,extra,Poritidae
Goniopora stokesi,Near Threatened,4.7,MB,4,extra,Poritidae
Goniopora sultani,Least Concern,7.8,MB,4,extra,Poritidae
Goniopora tenella,Near Threatened,2.9,LB,4,extra,Poritidae
Gyrosmilia interrupta,Least Concern,8.1,NB,6,intra,Euphylliidae
Halomitra clavator,Vulnerable,5.3,NB,5,intra,Fungiidae
Halomitra pileus,Least Concern,4.8,NB,5,intra,Fungiidae
Heliofungia actiniformis,Vulnerable,142,NB,0,intra,Fungiidae
Helioseris cucullata,Least Concern,4.6,LB,7,intra,Agariciidae
Herpolitha limax,Least Concern,370,NB,5,intra,Fungiidae
Homophyllia australis,Least Concern,75,NB,4,intra,Lobophylliidae
Homophyllia bowerbanki,Vulnerable,25,NB,4,intra,Lobophylliidae
Horastrea indica,Vulnerable,7.3,NB,4,intra,Coscinaraeidae
Hydnophora bonsai,Endangered,4.5,LB,3,intra,Merulinidae
Hydnophora exesa,Near Threatened,4.5,NB,3,intra,Merulinidae
Hydnophora grandis,Least Concern,4.7,LB,3,intra,Merulinidae
Hydnophora microconos,Near Threatened,7.2,NB,3,intra,Merulinidae
Hydnophora pilosa,Least Concern,8,MB,3,intra,Merulinidae
Hydnophora rigida,Least Concern,6.7,MB,3,intra,Merulinidae
Isophyllia rigida,Least Concern,9.2,NB,5,intra,Faviidae
Isophyllia sinuosa,Least Concern,9.2,NB,5,intra,Faviidae
Isopora brueggemanni,Vulnerable,1.6,HB,3,extra,Acroporidae
Isopora crateriformis,Vulnerable,0.8,LB,3,extra,Acroporidae
Isopora cuneata,Vulnerable,1,LB,3,extra,Acroporidae
Isopora palifera,Near Threatened,1.4,HB,3,extra,Acroporidae
Isopora togianensis,Endangered,1.2,HB,3,extra,Acroporidae
Leptastrea aequalis,Vulnerable,2.8,LB,4,extra,Scleractinia incertae sedis
Leptastrea bewickensis,Near Threatened,4.2,LB,4,extra,Scleractinia incertae sedis
Leptastrea bottae,Near Threatened,3.5,LB,4,extra,Scleractinia incertae sedis
Leptastrea inaequalis,Near Threatened,4.1,NB,4,extra,Scleractinia incertae sedis
Leptastrea purpurea,Least Concern,3.6,LB,4,extra,Scleractinia incertae sedis
Leptastrea transversa,Least Concern,9.2,LB,4,extra,Scleractinia incertae sedis
Leptoria irregularis,Vulnerable,6.3,LB,6,intra,Merulinidae
Leptoria phrygia,Near Threatened,3.5,NB,6,intra,Merulinidae
Leptoseris amitoriensis,Near Threatened,3.7,MB,5,intra,Agariciidae
Leptoseris cailleti,Least Concern,3.5,MB,5,intra,Agariciidae
Leptoseris explanata,Least Concern,4,MB,5,intra,Agariciidae
Leptoseris foliosa,Least Concern,1.4,MB,5,intra,Agariciidae
Leptoseris gardineri,Least Concern,2.5,MB,5,intra,Agariciidae
Leptoseris hawaiiensis,Vulnerable,4.4,LB,5,intra,Agariciidae
Leptoseris mycetoseroides,Least Concern,4.4,MB,5,intra,Agariciidae
Leptoseris papyracea,Least Concern,4.4,MB,5,intra,Agariciidae
Leptoseris scabra,Least Concern,6.3,LB,5,intra,Agariciidae
Leptoseris solida,Least Concern,3.8,LB,5,intra,Agariciidae
Leptoseris striata,Near Threatened,4,LB,5,intra,Agariciidae
Leptoseris tubulifera,Least Concern,2.5,LB,5,intra,Agariciidae
Leptoseris yabei,Vulnerable,3.7,MB,5,intra,Agariciidae
Lithophyllon concinna,Least Concern,160,NB,5,intra,Fungiidae
Lithophyllon repanda,Least Concern,150,NB,5,intra,Fungiidae
Lithophyllon scabra,Least Concern,78,NB,5,intra,Fungiidae
Lithophyllon spinifer,Least Concern,118,NB,5,intra,Fungiidae
Lithophyllon undulatum,Near Threatened,5.1,LB,5,intra,Fungiidae
Lobactis scutaria,Least Concern,169,NB,5,intra,Fungiidae
Lobophyllia agaricia,Least Concern,33.5,NB,2,intra,Lobophylliidae
Lobophyllia corymbosa,Least Concern,47.5,NB,2,intra,Lobophylliidae
Lobophyllia dentata,Vulnerable,32.6,NB,2,intra,Lobophylliidae
Lobophyllia diminuta,Vulnerable,42.5,NB,2,intra,Lobophylliidae
Lobophyllia erythraea,Least Concern,17.5,NB,2,intra,Lobophylliidae
Lobophyllia flabelliformis,Vulnerable,59.5,NB,2,intra,Lobophylliidae
