sp,new,extinct,source,notes,accepted,extinct.final,accepted.name,corallite,source1,shape,source2
Porites anguillensis,Porites anguillensis,extinct,worms,NA,yes,extinct,,,,,
Porites astreoides,Porites astreoides,NA,pbdb,NA,yes,extant,,,,,
Porites baracoaensis,Porites baracoaensis,extinct,worms,NA,yes,extinct,,,,,
Porites branneri,Porites branneri,NA,pbdb,NA,yes,extant,,,,,
Porites chipolanum,Porites chipolanum,extinct,pbdb,NA,yes,extinct,,,,,
Porites colonensis,Porites colonensis,NA,pbdb,NA,yes,extant,,,,,
Porites convivatoris,Porites convivatoris,NA,pbdb,NA,yes,extinct,,,,,
Porites divaricata,Porites divaricata,NA,pbdb,NA,yes,extant,,,,,
Porites furcata,Porites furcata,NA,pbdb,NA,yes,extant,,,,,
Porites macdonaldi,Porites macdonaldi,extinct,worms,NA,yes,extinct,,,,,
Porites porites,Porites porites,NA,pbdb,NA,yes,extant,,,,,
Porites portoricensis,Porites portoricensis,extinct,worms,NA,yes,extinct,,,,,
Porites trinitatis,Porites trinitatis,NA,pbdb,NA,yes,extinct,,,,,
Porites waylandi,Porites waylandi,extinct,worms,NA,yes,extinct,,,,,
Psammocora trinitatis,Psammocora trinitatis,NA,pbdb,NA,yes,extinct,,,,,
Scolymia cubensis,Scolymia cubensis,extant,pbdb,NA,yes,extant,,,,,
Scolymia lacera,Scolymia lacera,extant,pbdb,NA,yes,extant,,,,,
Siderastrea conferta,Siderastrea conferta,extinct,worms,NA,yes,extinct,,,,,
Siderastrea mendenhalli,Siderastrea mendenhalli,extinct,worms,NA,yes,extinct,,,,,
Siderastrea pliocenica,Siderastrea pliocenica,extinct,worms,NA,yes,extinct,,,,,
Siderastrea radians,Siderastrea radians,extinct,pbdb,NA,yes,extinct,,,,,
Siderastrea siderea,Siderastrea siderea,NA,pbdb,NA,yes,extant,,,,,
Siderastrea silecensis,Siderastrea silecensis,NA,pbdb,NA,yes,extinct,,,,,
Solenastrea bournoni,Solenastrea bournoni,extant,worms,NA,yes,extant,,,,,
Solenastrea hyades,Solenastrea hyades,extant,worms,NA,yes,extant,,,,,
Stephanocoenia duncani,Stephanocoenia duncani,NA,pbdb,NA,yes,extinct,,,,,
Stephanocoenia intersepta,Stephanocoenia intersepta,extant,worms,NA,yes,extant,,,,,
Stephanocoenia spongiformis,Stephanocoenia spongiformis,NA,pbdb,unaccepted in worms, accepted as valid in Florez et al. (2019),yes,extinct,,,,
Stylophora affinis,Stylophora affinis,extinct,worms,NA,yes,extinct,,,,,
Stylophora affinis,Stylophora affinis,extinct,worms,NA,yes,extinct,,,,,
Stylophora canalis,Stylophora canalis,extinct,worms,NA,yes,extinct,,,,,
Stylophora granulata,Stylophora granulata,extinct,worms,NA,yes,extinct,,,,,
Stylophora imperatoris,Stylophora imperatoris,extinct,worms,NA,yes,extinct,,,,,
Stylophora minor,Stylophora minor,extinct,worms,NA,yes,extinct,,,,,
