"species","id","genus","family","min.lat","max.lat","med.lat","n","gc.dist","area","mean.size","mean.corallite.size","growth_Veron","depth.lower","depth.upper","IUCN","loc.abundance","clarity.pref","exposure.pref","range.size.Veron","ocean","growth","origin","growth.rate","symbio","clade","larval","strategy"
"Polycyathus marigondoni",1253,"Polycyathus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.0915825747368,NA,"az",NA,"",""
"Polycyathus muellerae",1254,"Polycyathus","Caryophylliidae",32.8300018310547,43.2900009155273,39.1399993896484,13,3733.29779957157,2272383.33649785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"atlantic",NA,1.05165718354818,NA,"az",NA,"",""
"Polycyathus norfolkensis",1255,"Polycyathus","Caryophylliidae",-29.03000069,-29.0300006866455,-29.0300006883228,2,9.50453877449036e-05,0,NA,NA,NA,NA,NA,NA,NA,"both","protected",NA,"pacific",NA,1.18237216066841,NA,"az",NA,"",""
"Polycyathus octuplus",1256,"Polycyathus","Caryophylliidae",-14.3299999237061,-14.2200002670288,-14.31250021,38,18.7635584512129,61.1988895930569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.09669075562348,NA,"az",NA,"",""
"Polycyathus palifera",1257,"Polycyathus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.14400164033471,NA,"az",NA,"",""
"Polycyathus persicus",1258,"Polycyathus","Caryophylliidae",26.7000007629395,26.7000007629395,26.7000007629395,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.27289501752627,NA,"az",NA,"",""
"Polycyathus senegalensis",1259,"Polycyathus","Caryophylliidae",6.11999988555908,32.5800018310547,28.07,43,5000.57024908258,3888372.25145051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"atlantic",NA,1.26124366632211,NA,"az",NA,"",""
"Polycyathus verrilli",1260,"Polycyathus","Caryophylliidae",7.237777,22.6000003814697,9.25,6,3108.89666617355,1497321.601973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.16686236199726,NA,"az",NA,"",""
"Polymyces fragilis",1261,"Polymyces","Flabellidae",-35.0666999816895,35.1416702270508,24.4829998016357,193,15977.7168858374,92146421.2839506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"atlantic",NA,1.16087811747612,NA,"az",NA,"",""
"Polymyces montereyensis",1262,"Polymyces","Flabellidae",-4.099999905,36.75,33.995834350586,14,6208.75435564354,365869.016413498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.25778418577413,NA,"az",NA,"",""
"Polymyces wellsi",1263,"Polymyces","Flabellidae",-40,26.503999710083,-5.468349895,102,17268.246546661,61613390.3915159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"atlantic",NA,1.19871141072799,NA,"az",NA,"",""
"Polyphyllia novaehiberniae",1264,"Polyphyllia","Fungiidae",-22.34305954,9.89999961853027,-5.15000009536743,17,10282.4397998309,12866118.9633207,NA,NA,"massive",15,1,"NT","common","clear","protected",10170749.66,"pacific","colonial",1.47794569974335,NA,"z",NA,"spawner",""
"Polyphyllia talpina",1265,"Polyphyllia","Fungiidae",-23.46049,38.0299987792969,-16.1166,265,15152.1424763035,71053076.9364677,NA,NA,"massive",30,1,"LC","common","clear","protected",33063686.59,"pacific","colonial",1.47794569974335,NA,"z","C","",""
"Porites annae",1266,"Porites","Poritidae",-31.46667,28.3799991607666,-17.0919990519775,202,17590.1664312814,60303931.3584237,NA,1.1,"digitate",30,0.5,"NT","common","both","broad",26168435.82,"pacific","colonial",1.1383343701485,NA,"z","C","spawner","stress-tolerant"
"Porites aranetai",1267,"Porites",NA,NA,NA,NA,NA,NA,NA,NA,1,"digitate",20,2,"VU","uncommon","clear","broad",5747207.732,"pacific","colonial",1.64253702490181,NA,"z",NA,"",""
"Porites arnaudi",1268,"Porites",NA,NA,NA,NA,NA,NA,NA,NA,1.1,"laminar",37,7,"LC","common","clear","exposed",13746101.25,"pacific","colonial",1.58015632085632,NA,"z",NA,"",""
"Porites astreoides",1269,"Porites","Poritidae",-27.1658,32.3271598815918,18.36486,972,8711.71717065992,30181629.2765653,32.8433333333333,1.6,"encrusting",70,0.133333333333333,"LC","common","clear","broad",6158154.085,"atlantic","colonial",9.89261955441936,3.72114130434783,"z","C","brooder","weedy"
"Porites attenuata",1270,"Porites","Poritidae",-23.38330078125,13.5200004577637,-13.038332969574,24,12824.3907992638,16920089.6666165,NA,2.1,"branching_closed",20,2,"VU","common","clear","protected",18998622.5,"pacific","colonial",1.75276446920148,NA,"z",NA,"",""
"Porites australiensis",1271,"Porites","Poritidae",-31.46667,15.0992546081543,-14.2604599,175,18473.7417404588,59696375.4695219,NA,1.4,"massive",35,0.5,"LC","common","clear","protected",39869473.59,"pacific","colonial",1.47051844008185,12.4615384615385,"z",NA,"","stress-tolerant"
"Porites baueri",1272,"Porites","Poritidae",0,0,0,1,9.50453877449036e-05,0,NA,NA,NA,NA,NA,"DD","rare",NA,NA,NA,"pacific",NA,1.32874341248517,NA,"z",NA,"",""
"Porites bernardi",1273,"Porites",NA,NA,NA,NA,NA,NA,NA,NA,NA,"digitate",NA,NA,"LC","uncommon","clear","broad",NA,"pacific","colonial",1.35646003895966,NA,"z",NA,"",""
"Porites branneri",1274,"Porites","Poritidae",-22.8828,30.4191112518311,-16.89375,56,8219.78517626743,14399624.1611151,NA,1.8,NA,2.5,0.05,"NT","uncommon","clear","protected",5047706.253,"atlantic",NA,1.30517058614437,NA,"z",NA,"",""
"Porites brighami",1275,"Porites","Poritidae",2.77972221374512,28.3898658752441,23.7700004577637,111,8743.63363525266,4543936.54342329,10,1.5,"encrusting",NA,NA,"LC","common","clear","broad",4524148.447,"pacific","colonial",1.34752051039719,NA,"z","C","brooder",""
"Porites cocosensis",1276,"Porites","Poritidae",-0.95,-0.95,-0.95,1,0,0,NA,1.5,"digitate",NA,NA,"VU","common","clear","broad",2607663.487,"atlantic","colonial",1.59470813006659,NA,"z",NA,"",""
"Porites colonensis",1277,"Porites","Poritidae",9.22031688690186,26.5972499847412,12.1891603469848,10,2375.89926286882,2167429.58712457,NA,1.4,"laminar",25,2,"DD","common","clear","broad",3772055.817,"atlantic","colonial",3.58363557295221,NA,"z","C","",""
"Porites columnaris",1278,"Porites","Poritidae",-21.1,11.5,-11.0149619,23,3861.84610046756,7408434.12716582,NA,1.5,"columnar",15,0,"LC","uncommon","clear","broad",1279521.569,"pacific","colonial",1.54528668935024,5.585,"z",NA,"",""
