"assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","valid"
3786069,133524,"Anacropora pillai","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Anacropora","pillai",NA,NA,NA,"Veron, 2002","Data Deficient","",3.1,"Decreasing","Global","Anacropora pillai"
3787489,133527,"Mussismilia harttii","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","MUSSIDAE","Mussismilia","harttii",NA,NA,NA,"(Verrill, 1868)","Data Deficient","",3.1,"Unknown","Global","Mussismilia harttii"
3787781,133528,"Blastomussa merleti","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","MUSSIDAE","Blastomussa","merleti",NA,NA,NA,"Wells, 1961","Least Concern","",3.1,"Unknown","Global","Blastomussa merleti"
3788398,133529,"Horastrea indica","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","SIDERASTREIDAE","Horastrea","indica",NA,NA,NA,"Pichon, 1971","Vulnerable","A4c",3.1,"Unknown","Global","Horastrea indica"
3788729,133530,"Stylophora subseriata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","POCILLOPORIDAE","Stylophora","subseriata",NA,NA,NA,"(Ehrenberg, 1834)","Least Concern","",3.1,"Unknown","Global","Stylophora subseriata"
3790408,133533,"Oculina robusta","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","OCULINIDAE","Oculina","robusta",NA,NA,NA,"Pourtalés, 1871","Data Deficient","",3.1,"Unknown","Global","Oculina robusta"
3790679,133534,"Pocillopora zelli","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","POCILLOPORIDAE","Pocillopora","zelli",NA,NA,NA,"Veron, 2002","Least Concern","",3.1,"Unknown","Global","Pocillopora zelli"
3791008,133535,"Agaricia agaricites","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","AGARICIIDAE","Agaricia","agaricites",NA,NA,NA,"(Linnaeus, 1758)","Least Concern","",3.1,"Stable","Global","Agaricia agaricites"
3791495,133536,"Millepora intricata","ANIMALIA","CNIDARIA","MILLEPORINA","HYDROZOA","MILLEPORIDAE","Millepora","intricata",NA,NA,NA,"Milne Edwards 1857","Least Concern","",3.1,"Stable","Global","Millepora intricata"
3791989,133537,"Heterocyathus alternatus","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","CARYOPHYLLIIDAE","Heterocyathus","alternatus",NA,NA,NA,"Verrill, 1865","Least Concern","",3.1,"Unknown","Global","Heterocyathus alternatus"
