assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
3624060,133193,Heliopora coerulea,ANIMALIA,CNIDARIA,HELIOPORACEA,ANTHOZOA,HELIOPORIDAE,Heliopora,coerulea,,,,Pallas 1766,Vulnerable,A4cde,3.1,Decreasing,Global
3624773,133194,Montipora digitata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,digitata,,,,"(Dana, 1846)",Least Concern,,3.1,Decreasing,Global
3625344,133195,Acropora appressa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,appressa,,,,"(Ehrenberg, 1834)",Near Threatened,,3.1,Decreasing,Global
3625707,133196,Montipora incrassata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,incrassata,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3627486,133199,Montipora aspergillus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,aspergillus,,,,"Veron DeVantier &amp; Turak, 2000",Data Deficient,,3.1,Decreasing,Global
3629234,133202,Montipora hemispherica,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,hemispherica,,,,"Veron, 2002",Data Deficient,,3.1,Decreasing,Global
3629926,133204,Acropora forskali,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,forskali,,,,"(Ehrenberg, 1834)",Data Deficient,,3.1,Decreasing,Global
3630306,133205,Pectinia teres,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PECTINIIDAE,Pectinia,teres,,,,"Nemenzo &amp; Montecillo, 1981",Near Threatened,,3.1,Unknown,Global
3630720,133206,Acropora roseni,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,roseni,,,,"Wallace, 1999",Endangered,A4ce,3.1,Decreasing,Global
3631022,133207,Acropora clathrata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,clathrata,,,,"(Brook, 1891)",Least Concern,,3.1,Decreasing,Global
3633217,133210,Favia speciosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,speciosa,,,,"Dana, 1846",Least Concern,,3.1,Decreasing,Global
